,file_name,api_number,well_name,date,formation,top_ft,bottom_ft,stimulation_stages,volume,volume_units,well_status,well_type,closest_city,oil_production,gas_production,latitude,longitude
0,W21796.pdf,33-053-03846,Dahl Federal 2-15H,,,,,,,,Active,Oil & Gas,Williston,118.0,95.0,48.08034722222222,-102.34440277777776
1,W28599.pdf,33-053-06010,Chalmers 5301 44-24 3BR,10/30/2014,Bakken,10910.0,20833.0,36.0,206015.0,Barrels,Active,Oil & Gas,Williston,286.0,3000.0,48.05569444444444,-102.39484722222224
2,W25571.pdf,33-053-04981,Colville 5301 44-12T,,,,,,,,Active,Oil & Gas,Williston,730.0,2300.0,48.08271666666667,-102.39197777777778
3,W22731.pdf,33-053-04069,Magnum 3-36-25H,,,,,,,,Active,Oil & Gas,Williston,1200.0,2500.0,48.024921,-102.395311
4,W22249.pdf,33-053-03944,Magnum 2-36-25H,,,,,,,,Active,Oil & Gas,Williston,518.0,627.0,48.02496361111111,-102.39483222222223
5,W28601.pdf,33-053-06012,Chalmers Wade Federal 5301 44-24 12TXR,,,,,,,,Active,Oil & Gas,Williston,499.0,589.0,48.05546666666666,-102.39484722222224
6,W22220.pdf,33-053-03936,Jefferies 5301 43-12B,,,,,,,,Active,Oil & Gas,Williston,1400.0,1500.0,48.08279166666667,-102.38601111111112
7,W20863.pdf,33-053-03608,Foley Federal 5301 43-12H,,,,,,,,Active,Oil & Gas,Williston,1400.0,12400.0,48.08276111111111,-102.38839444444444
8,W20864.pdf,33-053-03609,Bray 5301 43-12H,,,,,,,,Active,Oil & Gas,Williston,760.0,3000.0,48.08276666666667,-102.38798611111112
9,W21266.pdf,33-053-03703,Dahl Federal 15-11H,,,,,,,,Active,Oil & Gas,Williston,4200.0,3400.0,48.08232666666667,-102.36410027777777
10,W22247.pdf,33-053-03943,Magnum 1-36-25H,,,,,,,,Active,Oil & Gas,Williston,1100.0,1900.0,48.02509166666667,-102.37768055555556
12,W25156.pdf,33-053-04852,Columbus Federal 1-16H,,,,,,,,Active,Oil & Gas,Williston,2200.0,605.0,48.07490694444445,-102.32979055555556
13,W22221.pdf,33-053-03937,Innoko 5301 43-12T,9/7/2013,Bakken,11117.0,21122.0,36.0,90354.0,Barrels,Active,Oil & Gas,Williston,424.0,2000.0,48.08278888888889,-102.38625555555556
14,W25160.pdf,33-053-04856,Columbus Federal 3-16H,12/27/2013,,10.0,29.0,1.0,1.0,8.5,Active,Oil & Gas,Williston,1500.0,1000.0,48.07545555555556,-102.33027777777777
15,W23363.pdf,33-105-02723,Atlanta Federal 10-6H,,,,,,,,Active,Oil & Gas,Williston,806.0,1000.0,48.10934722222223,-102.27174722222222
16,W23365.pdf,33-105-02725,Atlanta Federal 8-6H,,,,,,,,Active,Oil & Gas,Williston,495.0,707.0,48.10934722222223,-102.270375
17,W28342.pdf,33-053-05924,Chalmers 5301 44-24 2TR,10/31/2014,Three Forks,11043.0,20883.0,36.0,207943.0,Barrels,Active,Oil & Gas,Williston,439.0,7400.0,48.05578333333333,-102.39484722222224
18,W28600.pdf,33-053-06011,Chalmers 5301 44-24 4T2R,,,,,,,,Inactive,Oil & Gas,Williston,,,48.05555833333333,-102.39484722222224
19,W90258.pdf,33-105-90258,Atlanta #1 SWD,,,,,,,,Active,Salt Water Disposal,Williston,,,48.10999722222223,-102.268175
21,W29317.pdf,33-053-06232,Gramma Federal 5300 41-31 13T,7/5/2015,24,46.0,164.0,1358.0,1821.0,3006,Active,Oil & Gas,Williston,614.0,5200.0,48.026355555555554,-102.397125
22,W22099.pdf,33-053-03911,Yukon 5301 41-12T,9/10/2013,,24.0,31.0,164.0,863.0,O,Active,Oil & Gas,Williston,1100.0,754.0,48.08291694444445,-101.6230438888889
23,W23371.pdf,33-105-02731,Atlanta 2-6H,,,,,,,,Active,Oil & Gas,Williston,209.0,422.0,48.1093525,-102.26863694444444
25,W22740.pdf,33-053-04071,Larry 5301 44-12B,,,,,,,,Active,Oil & Gas,Williston,1200.0,4700.0,48.08271111111112,-102.39259722222222
26,W23361.pdf,33-105-02721,Atlanta 12-6H,,,,,,,,Active,Oil & Gas,Williston,153.0,353.0,48.109,-103.728
28,W23364.pdf,33-105-02724,Atlanta Federal 9-6H,,,,,,,,Active,Oil & Gas,Williston,217.0,378.0,48.10934722222223,-102.27156388888888
29,W23366.pdf,33-105-02726,Atlanta Federal 7-6H,,,,,,,,Active,Oil & Gas,Williston,1300.0,1500.0,48.10935,-102.27019166666666
30,W23359.pdf,33-105-02719,Atlanta 14-6H,,,,,,,,Active,Oil & Gas,Williston,383.0,593.0,48.10934722222223,-102.27248333333333
31,W20407.pdf,33-053-03472,Chalmers 5300 31-19H,,,,,,,,Inactive,Oil & Gas,Williston,,,58.05735277777777,-102.39738611111112
32,W23362.pdf,33-105-02722,Atlanta 11-6H,,,,,,,,Active,Oil & Gas,Williston,356.0,568.0,48.11,-103.73
33,W20197.pdf,33-053-03413,Wade Federal 5300 21-30H,,,,,,,,Inactive,Oil & Gas,Williston,,,48.04706111111111,-102.39679444444444
34,W23230.pdf,33-053-04211,Ash Federal 5300 11-18T,10/26/2012,Three Forks,11101.0,20482.0,36.0,92216.0,Barrels,Active,Oil & Gas,Williston,264.0,170.0,48.07979166666667,-102.3973
35,W28194.pdf,33-053-05849,Lewis Federal 5300 21-31 5B,,,,,,,,Active,Oil & Gas,Williston,1300.0,1400.0,48.0318,-102.39689444444446
36,W25158.pdf,33-053-04854,Tallahassee 2-16H,,,,,,,,Active,Oil & Gas,Williston,491.0,814.0,48.07524444444445,-102.33008888888888
37,W28633.pdf,33-053-06018,Chalmers 5300 21-19 5T,,,,,,,,Active,Oil & Gas,Williston,892.0,2300.0,48.06174166666666,-102.39719166666669
38,W28554.pdf,33-053-05995,Wade Federal 5300 31-30 2B,4/8/2015,Bakken,11034.0,20595.0,50.0,215747.0,Barrels,Active,Oil & Gas,Williston,730.0,2200.0,48.04238333333333,-102.39683055555555
39,W23369.pdf,33-105-02729,Atlanta 4-6H,,,,,,,,Active,Oil & Gas,Williston,312.0,526.0,48.10935194444445,-102.26900527777778
40,W25159.pdf,33-053-04855,Columbus Federal 2-16H,,,,,,,,Active,Oil & Gas,Williston,862.0,1300.0,48.07535,-102.33018333333332
41,W23368.pdf,33-105-02728,Atlanta Federal 5-6H,,,,,,,,Active,Oil & Gas,Williston,96.0,208.0,48.10935,-102.269825
42,W25157.pdf,33-053-04853,Tallahassee 3-16H,,,,,,,,Active,Oil & Gas,Williston,474.0,698.0,48.07513611111112,-102.32999444444444
43,W23372.pdf,33-105-02732,Atlanta 1-6H,12/22/2012,10085',124.0,21.0,18.0,83.0,,Active,Oil & Gas,Williston,579.0,789.0,48.07513611111112,-102.32999444444444
44,W28190.pdf,33-053-05845,Lewis Federal 5300 21-31 6B,,,,,,,,Active,Oil & Gas,Williston,1700.0,3900.0,48.03170833333333,103.60310555555554
45,W23367.pdf,33-105-02727,Atlanta Federal 6-6H,,,,,,,,Active,Oil & Gas,Williston,277.0,491.0,48.10935,-102.27000833333334
46,W28557.pdf,33-053-05998,Wade Federal 5300 41-30 7T,4/24/2015,Three Forks,11167.0,20517.0,36.0,134353.0,Barrels,Active,Oil & Gas,Williston,448.0,2200.0,48.04436666666666,-102.40224166666668
47,W28425.pdf,33-053-05954,Wade Federal 5300 41-30 6B,4/24/2015,Bakken,10032.0,20425.0,50.0,188339.0,Barrels,Active,Oil & Gas,Williston,440.0,2500.0,48.041291666666666,-102.39699444444445
48,W28303.pdf,33-053-05906,Wade Federal 5300 31-30 11T,3/29/2015,Three Forks,11080.0,20453.0,36.0,123705.0,Barrels,Active,Oil & Gas,Williston,462.0,2600.0,48.04243888888889,-102.39683055555555
49,W23370.pdf,33-105-02730,Atlanta 3-6H,,,,,,,,Active,Oil & Gas,Williston,477.0,688.0,48.1094,-103.7312
50,W28634.pdf,33-053-06019,Chalmers 5300 21-19 6B,7/19/2015,24,36.0,164.0,1606.0,1552.0,31 5,Active,Oil & Gas,Williston,553.0,3200.0,48.06165277777777,-102.39719166666669
51,W28394.pdf,33-053-05943,Wade Federal 5300 41-30 4T,4/8/2015,Three Forks,11079.0,20187.0,50.0,238848.0,Barrels,Active,Oil & Gas,Williston,41.0,400.0,48.04225833333333,-102.39683055555555
